title,thumb,image,text,video,link,linktext
Debriefs,images/BusDiscussions.jpg,images/BusDiscussions.jpg,We sometimes did debriefs while stationary but we were travelling so much that a lot of our debriefs and discussions were on the bus. There was some passionate conversations as well as a lot of laughs.,,,
Quantum Technologies,images/HydrogenCar.jpg,images/HydrogenWorkshop.jpg,"Trish: Quantum Technologies is designing new tech to reuse helium and hydrogen through their systems to capture, filter and reuse them",,,
Do Bears Walk In The Woods?,images/Bear.jpg,images/Bear.jpg,We saw a bear by the side of the road!,images/BearVideo.mp4,,
Chief Point,images/ChiefPointLL.jpg,images/ChiefPointDainty.jpg,"Dainty: Having engaged representatives from across 6 tribes, there was a clear difference in the posture of the Older vs the Younger Indigenous persons.   Chief Steven Point, Chancellor of University of British Columbia indicated  that the younger population are open to reconciliation but the older indigenous population are still upset. He stated “I thought about it, and I realized..the younger population…they are not damaged”",,,
UBC's Dean Megan,images/DeanMegan.png,images/DeanMegan.png,The Dean of our kind hosts at UBC,,,
Port of Vancouver,images/CraneDown.jpeg,images/ArpitDance.gif,Arpit made the most of getting stuck on top of the crane at the port,,,
Remember Your Teachings,images/RememberYourTeachings.jpg,images/RememberYourTeachings.jpg,"An insciption (xʷəńiwən ce:p kʷθəθ nəὠeyəɬ) on a monument in front of the Museum of Anthropology, which was fascinating",,https://moa.ubc.ca/,The MOA Website
Homes and Housing,images/Homes.jpeg,images/Homes.jpeg,The housing crisis and affordability was a common theme throughout the trip,,https://photos.app.goo.gl/yttCY7wKnjY8qH3g6,A photo album that Trish made of some of the BC Houses
Our Presentation,images/PostPres.jpg,images/Presentation2.jpg,"Though we say so ourselves, our presentation was a huge success!",,https://docs.google.com/presentation/d/1uGbT_eb0Pkav7XGruoOYQVXq7X7WYzW0Na6k3gz5VRk/edit?usp=sharing,These are our slides
Bus Breakdown,images/BusBreakdown.png,images/busbreakdown.gif,"On the way to the glacier, the bus broke down because it was overheating. It was lovely how many people stopped and offered to help, including one guy in an interestingly decorated car with a doll strapped to the hood. We made it to a rest area and there we managed to get a lift with a lovely tour bus of Germans who took us to the Glacier and Skywalk.
Kali: Resilience and adaptability are sure signs of a great leader and are valuable in every facet of life. We had a testing journey that would have broken many teams apart, however we had fun, trusted the process and each other, and took all the challenges as they came. Regardless of the drama, I had the best day yesterday! Also, when you need to hitchhike and catch a random bus with strangers, call Ed :)
Caroline: The best decision for a team (or organization) isn’t always the perfect decision. Some sacrifices have to be made and some risks taken in order to reap some (or more) benefits. Like leaving our luggage behind! I know not everyone was comfortable with it and some even thought it was a bad idea. At that point our options were:  A) status quo or B) take a leap of faith. I imagine that the rest of the day would have turned out very different had we not taken that leap of faith to leave our luggage behind.",,,
